enzyme,n_sites,mean_%_GC_content,mean_%_CpG_content,%_sites_protein_coding_genes,%_sites_exons,%_sites_introns,%_sites_non_coding_RNA_genes,%_sites_intragenic,%_sites_intergenic,%_sites_CGI,%_sites_shores,%_sites_shelves,%_sites_CGI_promoters,%_sites_non_CGI_promoters
Tru9I,19214823,31.4687709921,0.329477508068,43.3502874317,1.74003684551,41.7036055966,7.56752742401,45.1384277649,54.8614421273,0.084158984967,2.2819986424,2.20202392705,0.920752691815,0.922964525877
BspQI,376980,45.1474649729,0.643110509841,45.2984243196,4.66603002812,40.836118627,7.29879569208,47.7364846941,52.2568836543,1.33322722691,4.42304631545,3.25852830389,1.99427025306,1.34251153907
Psp124BI,603375,49.3087926324,0.710157033354,46.181230578,4.13789102963,42.2292935571,6.77522270561,49.0205925005,50.9752641392,1.75794489331,5.23637870313,3.8781852082,2.40232028175,1.4640977833
MfeI,564358,36.385614853,0.320925370067,37.6964621747,1.95018055915,35.8364725936,7.96497967602,39.480790562,60.5147796257,0.126692631273,2.07988546277,2.0589767488,0.909351865305,0.868066014835
CviAII,13815795,42.7567787114,0.414052401617,43.5449860106,2.4064775136,41.2518570231,7.3029963169,45.6943302937,54.305488754,0.317781206221,2.9946231831,2.99091004173,1.1120243171,1.10879612791
Alw21I,2066990,47.9227317473,0.683773216126,46.0604550578,3.81017808504,42.4275879419,6.82944765093,48.7847546432,51.2140358686,1.47751077654,5.07544787348,3.87423257974,2.0581134887,1.40436093063
BsgI,2068181,51.849485167,0.545632127942,46.4250469374,2.94853303458,43.6206018719,6.4061124244,49.2942348856,50.7045563227,0.995899295081,4.85982609839,4.13571152622,1.91259855883,1.34325767426
TscAI,8765312,47.379139992,0.487727145366,46.3553037245,2.86350331854,43.6287150988,6.68963067145,48.9514007031,51.0483140817,0.506964270068,4.08878771229,3.66925900641,1.55041828517,1.27548226464
Bsp1407I,835558,36.1805778534,0.346243109395,42.4977081184,2.53830374432,40.0857869831,7.49367488553,44.3431814428,55.6538265447,0.165518132793,2.5101788266,2.42999289098,0.93338822679,0.962470588517
AhlI,400345,37.1006922829,0.330998263997,43.6038916435,1.81668311082,41.8938665401,7.45981590878,45.5292310382,54.4645243478,0.121645081118,2.3936854463,2.30651063458,1.02861282144,0.95467659144
