family_name,enzyme,methylation_sensitive
BseX3I,EagI,1
BseX3I,EclXI,NA
BseX3I,Eco52I,1
BseYI,BseYI,1
BseYI,PspFI,1
BsgI,BsgI,0
Bsh1285I,Bsh1285I,1
Bsh1285I,BsiEI,1
Bsh1285I,BstMCI,NA
BshFI,BshFI,0
BshFI,BsnI,NA
BshFI,BspANI,NA
BshFI,BsuRI,0
BshFI,HaeIII,0
BsiSI,BsiSI,0
BsiSI,HapII,1
BsiSI,HpaII,1
BsiSI,MspI,0
BsiWI,BsiWI,1
BsiWI,Pfl23II,1
BsiWI,PspLI,NA
BslFI,BslFI,NA
BslFI,BsmFI,1
BslFI,FaqI,1
BsmBI,BsmBI,1
BsmBI,Esp3I,1
BsmI,BsmI,0
BsmI,Mva1269I,0
BsmI,PctI,NA
Bsp120I,Bsp120I,1
Bsp120I,PspOMI,1
Bsp1286I,Bsp1286I,0
Bsp1286I,MhlI,NA
Bsp1286I,SduI,0
Bsp1407I,Bsp1407I,0
Bsp1407I,BsrGI,0
Bsp1407I,BstAUI,NA
Bsp19I,Bsp19I,0
Bsp19I,NcoI,0
Bsp68I,Bsp68I,1
Bsp68I,BtuMI,NA
Bsp68I,NruI,1
Bsp68I,RruI,1
BspCNI,BspCNI,0
BspHI,BspHI,0
BspHI,CciI,0
BspHI,PagI,0
BspMAI,BspMAI,NA
BspMAI,PstI,0
BspQI,BspQI,0
BspQI,LguI,0
BspQI,PciSI,NA
BspQI,SapI,0
BssNAI,BssNAI,NA
BssNAI,Bst1107I,1
BssNAI,BstZ17I,1
BssT1I,BssT1I,0
BssT1I,Eco130I,0
BssT1I,EcoT14I,0
BssT1I,ErhI,0
BssT1I,StyI,0
Bst4CI,Bst4CI,NA
Bst4CI,HpyCH4III,1
Bst4CI,TaaI,1
Bst6I,Bst6I,NA
Bst6I,Eam1104I,0
BstAPI,BstAPI,1
BstC8I,BstC8I,NA
BstC8I,Cac8I,1
BstDEI,BstDEI,0
BstDEI,DdeI,0
BstDEI,HpyF3I,0
BstDSI,BstDSI,NA
BstDSI,BtgI,0
BstEII,BstEII,0
BstEII,BstPI,0
BstEII,Eco91I,0
BstEII,EcoO65I,0
BstEII,PspEI,NA
BstENI,BstENI,0
BstENI,EcoNI,0
BstENI,XagI,0
BstKTI,BstKTI,0
BstMWI,BstMWI,NA
BstMWI,HpyF10VI,1
BstMWI,MwoI,1
BstNSI,BstNSI,NA
BstNSI,NspI,0
BstNSI,XceI,0
BstSCI,BstSCI,NA
BstSCI,StyD4I,1
BstSNI,BstSNI,NA
BstSNI,Eco105I,1
BstSNI,SnaBI,1
BstX2I,BstX2I,NA
BstX2I,BstYI,0
BstX2I,MflI,NA
BstX2I,PsuI,0
BstXI,BstXI,0
BtgZI,BtgZI,1
BtsI,BtsI,0
BtsIMutI,BtsIMutI,0
CciNI,CciNI,1
CciNI,NotI,1
Cfr42I,Cfr42I,1
Cfr42I,KspI,NA
Cfr42I,SacII,1
Cfr42I,Sfr303I,NA
Cfr42I,SgrBI,1
Cfr9I,Cfr9I,1
Cfr9I,TspMI,1
Cfr9I,XmaI,0
CpoI,CpoI,1
CpoI,CspI,NA
CpoI,Rsr2I,NA
CseI,CseI,1
CseI,HgaI,1
CsiI,CsiI,0
CsiI,MabI,0
CsiI,SexAI,0
Csp6I,Csp6I,0
Csp6I,CviQI,0
Csp6I,RsaNI,NA
CspCI,CspCI,0
CviAII,CviAII,0
DinI,DinI,NA
DinI,EgeI,NA
DinI,SfoI,1
DpnI,DpnI,1
DpnI,MalI,1
DraI,DraI,0
EarI,EarI,1
EciI,EciI,1
Ecl136II,Ecl136II,1
Ecl136II,Eco53kI,1
Eco147I,Eco147I,0
Eco147I,PceI,0
Eco147I,SseBI,0
Eco147I,StuI,0
Eco32I,Eco32I,0
Eco32I,EcoRV,1
EcoICRI,EcoICRI,NA
EcoO109I,EcoO109I,0
EcoRI,EcoRI,1
EcoT22I,EcoT22I,0
EcoT22I,Mph1103I,0
EcoT22I,NsiI,0
EcoT22I,Zsp2I,0
EheI,EheI,1
FaeI,FaeI,0
FaeI,Hin1II,0
FaeI,Hsp92II,0
FaeI,NlaIII,0
FalI,FalI,0
FatI,FatI,0
FauI,FauI,1
FauNDI,FauNDI,0
FauNDI,NdeI,0
FokI,FokI,0
FseI,FseI,1
FseI,RigI,1
FspAI,FspAI,1
GlaI,GlaI,1
GsaI,GsaI,NA
Hin6I,Hin6I,1
Hin6I,HinP1I,1
Hin6I,HspAI,1
HincII,HincII,1
HincII,HindII,NA
HindIII,HindIII,0
HinfI,HinfI,1
HpaI,HpaI,1
HpaI,KspAI,1
Hpy166II,Hpy166II,1
Hpy166II,Hpy8I,1
Hpy188I,Hpy188I,0
Hpy188III,Hpy188III,1
Hpy99I,Hpy99I,1
HpyAV,HpyAV,1
HpyCH4IV,HpyCH4IV,1
HpyCH4IV,HpySE526I,1
HpyCH4IV,MaeII,NA
HpyCH4V,HpyCH4V,0
KasI,KasI,1
KasI,SspDI,1
KflI,KflI,1
KpnI,KpnI,0
KroI,KroI,1
KroI,MroNI,NA
KroI,NgoMIV,1
LmnI,LmnI,NA
MaeIII,MaeIII,0
MauBI,MauBI,1
MboII,MboII,0
MfeI,MfeI,0
MfeI,MunI,0
MluCI,MluCI,0
MluCI,Sse9I,0
MluCI,TasI,0
MluI,MluI,1
Mly113I,Mly113I,NA
Mly113I,NarI,1
MlyI,MlyI,0
MlyI,SchI,0
MmeI,MmeI,1
MnlI,MnlI,0
MreI,MreI,1
MseI,MseI,0
MseI,SaqAI,0
MseI,Tru1I,0
MslI,MslI,0
MslI,RseI,0
MslI,SmiMI,NA
MspA1I,MspA1I,1
MssI,MssI,0
MssI,PmeI,1
MteI,MteI,1
NaeI,NaeI,1
NaeI,PdiI,1
NmeAIII,NmeAIII,0
NmuCI,NmuCI,1
NmuCI,TseFI,NA
PacI,PacI,0
PaeI,PaeI,0
PaeI,SphI,0
PaeR7I,PaeR7I,1
PaeR7I,Sfr274I,0
PaeR7I,SlaI,1
PaeR7I,XhoI,1
PasI,PasI,0
PciI,PciI,0
PciI,PscI,0
PcsI,PcsI,NA
PfeI,PfeI,1
PfeI,TfiI,1
PflFI,PflFI,0
PflFI,PsyI,0
PflFI,Tth111I,0
PfoI,PfoI,1
Ple19I,Ple19I,NA
Ple19I,PvuI,1
PleI,PleI,1
PleI,PpsI,NA
PluTI,PluTI,1
PpuMI,PpuMI,0
PpuMI,Psp5II,0
Psp124BI,Psp124BI,NA
Psp124BI,SacI,0
Psp124BI,SstI,0
PspPPI,PspPPI,NA
PspXI,PspXI,1
PsrI,PsrI,NA
PvuII,PvuII,0
RsrII,RsrII,1
SalI,SalI,1
SbfI,SbfI,0
SbfI,SdaI,0
SbfI,Sse8387I,0
SfiI,SfiI,1
SgrAI,SgrAI,1
SgrDI,SgrDI,1
SmaI,SmaI,1
SmiI,SmiI,0
SmiI,SwaI,0
SmlI,SmlI,0
SmlI,SmoI,0
SrfI,SrfI,1
SspI,SspI,0
TaiI,TaiI,1
TaqI,TaqI,0
TaqII,TaqII,NA
TatI,TatI,0
TauI,TauI,1
Tru9I,Tru9I,0
TscAI,TscAI,0
TscAI,TspRI,0
Tsp45I,Tsp45I,0
TspDTI,TspDTI,0
TspGWI,TspGWI,NA
XbaI,XbaI,0
XcmI,XcmI,0
ZraI,ZraI,1
