family_name,enzyme,methylation_sensitive
BseX3I,BstZI,NA
BseX3I,EagI,1
BseX3I,EclXI,1
BseX3I,Eco52I,1
BseYI,BseYI,1
BseYI,PspFI,NA
BsgI,BsgI,NA
Bsh1285I,Bsh1285I,1
Bsh1285I,BsiEI,1
Bsh1285I,BstMCI,NA
BshFI,BshFI,1
BshFI,BsnI,NA
BshFI,BspANI,NA
BshFI,BsuRI,1
BshFI,HaeIII,1
BsiSI,BsiSI,1
BsiSI,HapII,1
BsiSI,HpaII,1
BsiSI,MspI,1
BsiWI,BsiWI,1
BsiWI,Pfl23II,1
BsiWI,PspLI,NA
BslFI,BslFI,NA
BslFI,BsmFI,1
BslFI,FaqI,1
BsmBI,BsmBI,1
BsmBI,Esp3I,1
BsmI,BsmI,1
BsmI,Mva1269I,NA
BsmI,PctI,NA
Bsp120I,Bsp120I,1
Bsp120I,PspOMI,1
Bsp1286I,Bsp1286I,1
Bsp1286I,MhlI,1
Bsp1286I,SduI,NA
Bsp1407I,Bsp1407I,NA
Bsp1407I,BsrGI,NA
Bsp1407I,BstAUI,NA
Bsp19I,Bsp19I,1
Bsp19I,NcoI,1
Bsp68I,Bsp68I,1
Bsp68I,BtuMI,NA
Bsp68I,NruI,1
Bsp68I,RruI,NA
BspCNI,BspCNI,1
BspHI,BspHI,NA
BspHI,CciI,1
BspHI,PagI,1
BspMAI,BspMAI,NA
BspMAI,PstI,1 
BspQI,BspQI,NA
BspQI,LguI,NA
BspQI,PciSI,NA
BspQI,SapI,1
BssNAI,BssNAI,NA
BssNAI,Bst1107I,1
BssNAI,BstZ17I,1
BssT1I,BssT1I,NA
BssT1I,Eco130I,NA
BssT1I,EcoT14I,NA
BssT1I,ErhI,NA
BssT1I,StyI,NA
Bst4CI,Bst4CI,NA
Bst4CI,HpyCH4III,NA
Bst4CI,TaaI,1
Bst6I,Bst6I,1
Bst6I,Eam1104I,NA
BstAPI,BstAPI,1
BstC8I,BstC8I,1
BstC8I,Cac8I,1
BstDEI,BstDEI,1
BstDEI,DdeI,1
BstDEI,HpyF3I,NA
BstDSI,BstDSI,NA
BstDSI,BtgI,NA
BstEII,BstEII,1
BstEII,BstPI,NA
BstEII,Eco91I,NA
BstEII,EcoO65I,NA
BstEII,PspEI,NA
BstENI,BstENI,NA
BstENI,EcoNI,NA
BstENI,XagI,NA
BstKTI,BstKTI,0
BstMWI,BstMWI,1
BstMWI,HpyF10VI,1
BstMWI,MwoI,1
BstNSI,BstNSI,1
BstNSI,NspI,1
BstNSI,XceI,NA
BstSCI,BstSCI,1
BstSCI,StyD4I,1
BstSNI,BstSNI,NA
BstSNI,Eco105I,1
BstSNI,SnaBI,1
BstX2I,BstX2I,NA
BstX2I,BstYI,NA
BstX2I,MflI,1
BstX2I,PsuI,NA
BstXI,BstXI,1
BtgZI,BtgZI,1
BtsI,BtsI,NA
BtsIMutI,BtsIMutI,NA
CciNI,CciNI,NA
CciNI,NotI,1
Cfr42I,Cfr42I,1
Cfr42I,KspI,1
Cfr42I,SacII,1
Cfr42I,Sfr303I,NA
Cfr42I,SgrBI,1
Cfr9I,Cfr9I,1
Cfr9I,TspMI,1
Cfr9I,XmaI,1
CpoI,CpoI,1
CpoI,CspI,1
CpoI,Rsr2I,NA
CseI,CseI,1
CseI,HgaI,1
CsiI,CsiI,NA
CsiI,MabI,NA
CsiI,SexAI,1
Csp6I,Csp6I,0
Csp6I,CviQI,0
Csp6I,RsaNI,NA
CspCI,CspCI,1
CviAII,CviAII,0
DinI,DinI,NA
DinI,EgeI,NA
DinI,SfoI,1
DpnI,DpnI,1
DpnI,MalI,1
DraI,DraI,0
EarI,EarI,1
EciI,EciI,1
Ecl136II,Ecl136II,1
Ecl136II,Eco53kI,1
Eco147I,Eco147I,1
Eco147I,PceI,1
Eco147I,SseBI,NA
Eco147I,StuI,1
Eco32I,Eco32I,0
Eco32I,EcoRV,0
EcoICRI,EcoICRI,1
EcoO109I,EcoO109I,1
EcoRI,EcoRI,1
EcoT22I,EcoT22I,1
EcoT22I,Mph1103I,NA
EcoT22I,NsiI,0
EcoT22I,Zsp2I,NA
EheI,EheI,1
FaeI,FaeI,1
FaeI,Hin1II,NA
FaeI,Hsp92II,NA
FaeI,NlaIII,1
FalI,FalI,1
FatI,FatI,1
FauI,FauI,1
FauNDI,FauNDI,NA
FauNDI,NdeI,0
FokI,FokI,NA
FseI,FseI,1
FseI,RigI,1
FspAI,FspAI,1
GlaI,GlaI,1
GsaI,GsaI,1
Hin6I,Hin6I,1
Hin6I,HinP1I,1
Hin6I,HspAI,NA
HincII,HincII,1
HincII,HindII,1
HindIII,HindIII,1
HinfI,HinfI,1
HpaI,HpaI,1
HpaI,KspAI,1
Hpy166II,Hpy166II,1
Hpy166II,Hpy8I,1
Hpy188I,Hpy188I,NA
Hpy188III,Hpy188III,1
Hpy99I,Hpy99I,1
HpyAV,HpyAV,1
HpyCH4IV,HpyCH4IV,1
HpyCH4IV,HpySE526I,1
HpyCH4IV,MaeII,1
HpyCH4V,HpyCH4V,NA
KasI,KasI,1
KasI,SspDI,NA
KflI,KflI,NA
KpnI,KpnI,1
KroI,KroI,1
KroI,MroNI,NA
KroI,NgoMIV,1
LmnI,LmnI,NA
MaeIII,MaeIII,NA
MauBI,MauBI,NA
MboII,MboII,0
MfeI,MfeI,NA
MfeI,MunI,NA
MluCI,MluCI,0
