Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(FatI) AND (PciI OR PscI),357_1117,200_960,377.0,26.02,4483.446,8.11,4.07527059314461,0.975492064998113,0.25|0.2,377
(BspHI OR CciI OR PagI) AND (FatI),357_1117,200_960,377.0,26.02,4483.446,8.11,4.07527059314461,0.975492064998113,0.25|0.2,377
(CviAII),357_1117,200_960,377.0,26.02,4483.446,8.11,4.07527059314461,0.975492064998113,0.25|0.2,377
(FatI),357_1117,200_960,377.0,26.02,4483.446,8.11,4.07527059314461,0.975492064998113,0.25|0.2,377
(Tru9I) AND (XcmI),297_537,140_380,375.0,25.88,4460.243,8.15,4.07532725257282,0.977754758027969,0.25|0.2,375
(MseI OR SaqAI OR Tru1I) AND (XcmI),297_537,140_380,375.0,25.88,4460.243,8.15,4.07532725257282,0.977754758027969,0.25|0.2,375
(MnlI) AND (TspDTI),277_357,120_200,382.0,26.36,4544.542,8.0,4.07542675855270,0.963010209453622,0.25|0.2,382
(CviAII) AND (NmeAIII),297_577,140_420,383.0,26.43,4558.118,7.97,4.07558678998357,0.961249725493556,0.25|0.2,383
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (FatI),357_917,200_760,363.0,25.05,4321.527,8.41,4.07573060568986,0.976795472686624,0.25|0.2,363
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (CviAII),357_917,200_760,363.0,25.05,4321.562,8.41,4.07573412302189,0.976791512175321,0.25|0.2,363
(CviAII) AND (FatI),357_1097,200_940,373.0,25.74,4444.602,8.18,4.07612404554645,0.971190451582218,0.25|0.2,373
(XmnI) AND (Tru9I),317_1097,160_940,445.0,30.71,5303.38,6.85,4.07619273550224,0.977981329511176,0.25|0.2,445
(XmnI) AND (MseI OR SaqAI OR Tru1I),317_1097,160_940,445.0,30.71,5303.38,6.85,4.07619273550224,0.977981329511176,0.25|0.2,445
(CviAII) AND (PacI),357_1117,200_960,377.0,26.02,4493.839,8.09,4.07627615876203,0.974958914190360,0.25|0.2,377
(FatI) AND (PacI),357_1117,200_960,377.0,26.02,4493.847,8.09,4.07627693189893,0.974961077416604,0.25|0.2,377
(FatI) AND (MnlI),277_357,120_200,364.0,25.12,4341.109,8.37,4.07649930693607,0.959195087657583,0.25|0.2,364
(BciVI OR BfuI) AND (FokI),237_1137,80_980,366.0,25.26,4365.682,8.32,4.07657101275036,0.977371976535163,0.25|0.2,366
(FaeI OR Hin1II OR Hsp92II OR NlaIII) AND (NmeAIII),297_577,140_420,382.0,26.36,4558.045,7.97,4.07671524559285,0.961093847610282,0.25|0.2,382
(HpyCH4V) AND (PvuII),357_1077,200_920,380.0,26.22,4534.369,8.01,4.07673326283117,0.987194530438964,0.25|0.2,380
(NmeAIII) AND (Tru9I),317_1157,160_1000,446.0,30.78,5322.14,6.83,4.07675143586019,0.987391778057695,0.25|0.2,446
(MseI OR SaqAI OR Tru1I) AND (NmeAIII),317_1157,160_1000,446.0,30.78,5322.14,6.83,4.07675143586019,0.987391778057695,0.25|0.2,446
(BseRI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),297_537,140_380,405.0,27.95,4832.98,7.52,4.07675997471593,0.950440513375888,0.25|0.2,405
(AflII OR BfrI OR BspTI OR BstAFI OR MspCI OR Vha464I) AND (Tru9I),297_1157,140_1000,494.0,34.09,5900.525,6.16,4.07716370584720,0.990024631959035,0.25|0.2,494
(AflII OR BfrI OR BspTI OR BstAFI OR MspCI OR Vha464I) AND (MseI OR SaqAI OR Tru1I),297_1157,140_1000,494.0,34.09,5900.525,6.16,4.07716370584720,0.990024631959035,0.25|0.2,494
(BsmI OR Mva1269I) AND (HpyCH4V),357_1137,200_980,385.0,26.57,4599.162,7.9,4.07721797784048,0.987927120720923,0.25|0.2,385
(MseI OR SaqAI OR Tru1I) AND (SbfI OR SdaI OR Sse8387I),297_1157,140_1000,496.0,34.23,5925.162,6.13,4.07721855241038,0.989565390982181,0.25|0.2,496
(SbfI OR SdaI OR Sse8387I) AND (Tru9I),297_1157,140_1000,496.0,34.23,5925.162,6.13,4.07721855241038,0.989565390982181,0.25|0.2,496
(SmiI OR SwaI) AND (Tru9I),297_1157,140_1000,494.0,34.09,5901.495,6.16,4.07723509458377,0.990016492674634,0.25|0.2,494
(MseI OR SaqAI OR Tru1I) AND (SmiI OR SwaI),297_1157,140_1000,494.0,34.09,5901.495,6.16,4.07723509458377,0.990016492674634,0.25|0.2,494
(PacI) AND (Tru9I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(MseI OR SaqAI OR Tru1I) AND (PacI),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(MseI OR SaqAI OR Tru1I) AND (Tru9I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(AseI OR PshBI OR VspI) AND (Tru9I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(MseI OR SaqAI OR Tru1I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(AseI OR PshBI OR VspI) AND (MseI OR SaqAI OR Tru1I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(Tru9I),297_1157,140_1000,494.0,34.09,5901.785,6.16,4.07725643532969,0.990016828629371,0.25|0.2,494
(BfaI OR FspBI OR MaeI OR SspMI OR XspI) AND (Bsp1407I OR BsrGI),337_1077,180_920,363.0,25.05,4337.384,8.38,4.07732124804615,0.993709071467435,0.25|0.2,363
(XmnI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,380.0,26.22,4540.751,8.0,4.07734409064180,0.979207686719867,0.25|0.2,380
(BciVI OR BfuI) AND (MseI OR SaqAI OR Tru1I),317_1157,160_1000,449.0,30.99,5366.167,6.77,4.07741784318238,0.986242620942555,0.25|0.2,449
(BciVI OR BfuI) AND (Tru9I),317_1157,160_1000,449.0,30.99,5366.167,6.77,4.07741784318238,0.986242620942555,0.25|0.2,449
(AccB7I OR PflMI OR Van91I) AND (MluCI OR Sse9I OR TasI),337_1117,180_960,387.0,26.71,4625.202,7.86,4.07741973974687,0.978897160124287,0.25|0.2,387
(Bsp19I OR NcoI) AND (CviAII),357_1117,200_960,375.0,25.88,4481.967,8.11,4.07743738684288,0.975517104077763,0.25|0.2,375
(BsgI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_917,200_760,368.0,25.4,4398.922,8.26,4.07749844262821,0.979457613546643,0.25|0.2,368
(BalI OR MlsI OR MluNI OR Mox20I OR MscI OR Msp20I) AND (BccI),237_1037,80_880,380.0,26.22,4542.432,8.0,4.07750483804332,0.980838751744639,0.25|0.2,380
(BspMI) AND (AgsI),297_777,140_620,385.0,26.57,4603.014,7.89,4.07758156628782,0.984620957569853,0.25|0.2,385
(HpyCH4V) AND (KpnI),357_1077,200_920,377.0,26.02,4507.742,8.06,4.07761770109401,0.987515263178139,0.25|0.2,377
(BshFI OR BsuRI OR HaeIII) AND (MnlI),257_357,100_200,449.0,30.99,5369.046,6.77,4.07765078385032,0.969711033745512,0.25|0.2,449
(Eam1104I) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),297_537,140_380,401.0,27.67,4796.331,7.58,4.07776477397368,0.966768520178583,0.25|0.2,401
(MfeI OR MunI) AND (Tru9I),317_1157,160_1000,444.0,30.64,5311.433,6.84,4.07782873741360,0.989455462711668,0.25|0.2,444
(MfeI OR MunI) AND (MseI OR SaqAI OR Tru1I),317_1157,160_1000,444.0,30.64,5311.433,6.84,4.07782873741360,0.989455462711668,0.25|0.2,444
(ApoI OR XapI) AND (BssT1I OR Eco130I OR EcoT14I OR ErhI OR StyI),317_1117,160_960,379.0,26.16,4534.627,8.01,4.07790235959696,0.988903551320878,0.25|0.2,379
(FaeI OR Hin1II OR Hsp92II OR NlaIII) AND (SbfI OR SdaI OR Sse8387I),357_1117,200_960,375.0,25.88,4487.606,8.1,4.07798345228125,0.974470364325242,0.25|0.2,375
(AseI OR PshBI OR VspI) AND (BstMBI OR DpnII OR MboI),257_817,100_660,384.0,26.5,4597.544,7.9,4.07819466990273,0.984347892299067,0.25|0.2,384
(AflIII) AND (CviAII),357_1117,200_960,376.0,25.95,4501.83,8.07,4.07820124603539,0.974866577864306,0.25|0.2,376
(AflIII) AND (FatI),357_1117,200_960,376.0,25.95,4503.374,8.07,4.07835017118726,0.974076691284985,0.25|0.2,376
(CspCI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,375.0,25.88,4492.393,8.09,4.07844647413277,0.973854971181873,0.25|0.2,375
(PciI OR PscI) AND (Tru9I),297_1157,140_1000,503.0,34.71,6026.972,6.03,4.07853118877904,0.989055248672120,0.25|0.2,503
(MseI OR SaqAI OR Tru1I) AND (PciI OR PscI),297_1157,140_1000,503.0,34.71,6026.972,6.03,4.07853118877904,0.989055248672120,0.25|0.2,503
